,Course Code,Course Names,EX,A,B,C,D,P,F,EX%,A%,B%,C%,D%,P%,F%,session,Avg CGPA
510,CH29008,FUEL LABORATORY,40,50,14,0,0,0,0,38.46,48.08,13.46,0,0,0,0,Spring21,9.25
511,CH30012,TRANSPORT PHENOMENA,12,19,14,24,10,1,0,15,23.75,17.5,30,12.5,1.25,0,Spring20,7.95
512,CH30012,TRANSPORT PHENOMENA,9,11,17,37,12,7,0,9.68,11.83,18.28,39.78,12.9,7.53,0,Spring21,7.43
513,CH30014,CHEMICAL PROCESS TECHNOLOGY,16,23,24,12,6,0,0,19.75,28.4,29.63,14.81,7.41,0,0,Spring20,8.38
514,CH30014,CHEMICAL PROCESS TECHNOLOGY,10,39,26,15,2,1,0,10.75,41.94,27.96,16.13,2.15,1.08,0,Spring21,8.4
515,CH30016,COMPUTER AIDED PROCESS ENGINEERING,29,21,14,15,2,0,0,35.8,25.93,17.28,18.52,2.47,0,0,Spring20,8.74
516,CH30016,COMPUTER AIDED PROCESS ENGINEERING,13,18,31,25,6,0,0,13.98,19.35,33.33,26.88,6.45,0,0,Spring21,8.08
517,CH31001,MASS TRANSFER I,1,28,17,45,33,21,1,0.68,19.18,11.64,30.82,22.6,14.38,0.68,Autumn19,6.99
518,CH31001,MASS TRANSFER I,46,85,14,5,3,1,0,29.87,55.19,9.09,3.25,1.95,0.65,0,Autumn20,9.06
519,CH31007,MECHANICAL OPERATIONS,11,29,19,10,7,4,0,13.75,36.25,23.75,12.5,8.75,5,0,Autumn19,8.19
520,CH31007,MECHANICAL OPERATIONS,28,36,20,4,3,1,0,30.43,39.13,21.74,4.35,3.26,1.09,0,Autumn20,8.86
521,CH31009,REACTION ENGINEERING,1,8,8,15,26,22,0,1.25,10,10,18.75,32.5,27.5,0,Autumn19,6.46
522,CH31009,REACTION ENGINEERING,11,63,11,7,1,0,0,11.83,67.74,11.83,7.53,1.08,0,0,Autumn20,8.82
523,CH31010,MASS TRANSFER II,11,35,19,10,6,0,0,13.58,43.21,23.46,12.35,7.41,0,0,Spring20,8.43
524,CH31010,MASS TRANSFER II,3,15,52,20,3,0,0,3.23,16.13,55.91,21.51,3.23,0,0,Spring21,7.95
525,CH31011,INSTRUMENTATION & PROCESS CONTROL,11,23,19,17,7,3,0,13.75,28.75,23.75,21.25,8.75,3.75,0,Autumn19,8.06
526,CH31011,INSTRUMENTATION & PROCESS CONTROL,10,47,25,8,0,0,0,11.11,52.22,27.78,8.89,0,0,0,Autumn20,8.66
527,CH39006,MASS TRANSFER LABORATORY,73,57,15,0,0,0,0,50.34,39.31,10.34,0,0,0,0,Spring20,9.4
528,CH39006,MASS TRANSFER LABORATORY,44,90,22,6,0,1,0,26.99,55.21,13.5,3.68,0,0.61,0,Spring21,9.04
529,CH39015,MECHANICAL OPERATIONS & HEAT TRANSFER LABORATORY,21,53,4,2,0,0,0,26.25,66.25,5,2.5,0,0,0,Autumn19,9.16
530,CH39015,MECHANICAL OPERATIONS & HEAT TRANSFER LABORATORY,33,47,12,1,0,0,0,35.48,50.54,12.9,1.08,0,0,0,Autumn20,9.2
531,CH39020,INSTRUMENTATION AND PROCESS CONTROL LABORATORY,15,45,18,0,0,0,0,19.23,57.69,23.08,0,0,0,0,Spring20,8.96
532,CH39020,INSTRUMENTATION AND PROCESS CONTROL LABORATORY,0,93,0,0,0,0,0,0,100,0,0,0,0,0,Spring21,9
533,CH39022,PROCESS EQUIPMENT DESIGN II,12,36,23,10,0,0,0,14.81,44.44,28.4,12.35,0,0,0,Spring20,8.62
534,CH39022,PROCESS EQUIPMENT DESIGN II,39,35,15,4,0,0,0,41.94,37.63,16.13,4.3,0,0,0,Spring21,9.17
535,CH39023,PROCESS EQUIPMENT DESIGN I,11,20,28,18,4,0,0,13.58,24.69,34.57,22.22,4.94,0,0,Autumn19,8.2
536,CH39023,PROCESS EQUIPMENT DESIGN I,37,42,7,5,1,0,0,40.22,45.65,7.61,5.43,1.09,0,0,Autumn20,9.18
537,CH40001,BIOCHEMICAL ENGINEERING,10,54,13,2,0,0,0,12.66,68.35,16.46,2.53,0,0,0,Autumn20,8.91
538,CH42006,COMPUTER METHODS IN CHEM. ENGG.,11,10,4,2,2,0,0,37.93,34.48,13.79,6.9,6.9,0,0,Spring20,8.9
539,CH42006,COMPUTER METHODS IN CHEM. ENGG.,9,11,9,3,1,0,0,27.27,33.33,27.27,9.09,3.03,0,0,Spring21,8.73
540,CH42012,SYSTEMS ENGINEERING,5,4,2,0,0,0,0,45.45,36.36,18.18,0,0,0,0,Spring20,9.27
541,CH42014,FUEL TECHNOLOGY,1,1,3,3,0,3,0,9.09,9.09,27.27,27.27,0,27.27,0,Spring20,7.18
542,CH42014,FUEL TECHNOLOGY,0,0,0,1,0,1,0,0,0,0,50,0,50,0,Spring19,6
543,CH42014,FUEL TECHNOLOGY,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Autumn18,5
544,CH42014,FUEL TECHNOLOGY,4,4,2,1,1,0,0,33.33,33.33,16.67,8.33,8.33,0,0,Spring21,8.75
545,CH47025,PROJECT I,22,28,11,2,0,0,1,34.38,43.75,17.19,3.13,0,0,1.56,Autumn20,9.03
546,CH48013,INDUSTRIAL TRAINING,1,8,13,5,3,2,0,3.13,25,40.63,15.63,9.38,6.25,0,Autumn20,7.78
547,CH48014,COMPREHENSIVE VIVA VOCE,3,9,10,7,2,3,0,8.82,26.47,29.41,20.59,5.88,8.82,0,Spring21,7.85
548,CH49015,REACTION ENGINEERING LABORATORY,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Autumn20,#DIV/0!
549,CH49019,COMPUTER AIDED PROCESS ENGINEERING LAB.,55,13,8,1,1,1,0,69.62,16.46,10.13,1.27,1.27,1.27,0,Autumn20,9.48
550,CH60016,,5,4,3,1,0,0,0,38.46,30.77,23.08,7.69,0,0,0,Spring21,9
551,CH60016,,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring19,7
552,CH61012,,4,4,22,12,4,0,0,8.7,8.7,47.83,26.09,8.7,0,0,Spring21,7.83
553,CH61015,,1,0,1,0,0,0,0,50,0,50,0,0,0,0,Autumn20,9
554,CH61016,,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring20,9
555,CH61016,,2,19,4,5,0,0,0,6.67,63.33,13.33,16.67,0,0,0,Spring21,8.6
556,CH62001,,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn20,9
557,CH62003,,3,5,0,0,0,0,1,33.33,55.56,0,0,0,0,11.11,Autumn20,8.78
558,CH62007,,0,1,3,3,3,0,0,0,10,30,30,30,0,0,Autumn20,7.2
559,CH62008,,1,8,2,0,0,0,0,9.09,72.73,18.18,0,0,0,0,Spring21,8.91
560,CH62009,,1,34,7,0,1,0,0,2.33,79.07,16.28,0,2.33,0,0,Autumn20,8.79
561,CH62009,,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring20,8
562,CH62015,,1,0,2,0,0,0,0,33.33,0,66.67,0,0,0,0,Autumn20,8.67
563,CH62021,,1,1,3,0,0,2,0,14.29,14.29,42.86,0,0,28.57,0,Autumn20,7.57
564,CH62028,,3,8,7,0,0,0,0,16.67,44.44,38.89,0,0,0,0,Spring21,8.78
565,CH62028,,0,0,1,0,1,1,0,0,0,33.33,0,33.33,33.33,0,Spring19,6.33
566,CH62028,,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Spring20,6
567,CH62039,,0,2,12,2,4,0,0,0,10,60,10,20,0,0,Autumn20,7.6
568,CH62045,,1,1,3,1,0,0,0,16.67,16.67,50,16.67,0,0,0,Autumn20,8.33
569,CH62046,,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring21,10
570,CH62050,,0,0,1,0,0,1,0,0,0,50,0,0,50,0,Spring21,6.5
571,CH62052,,7,6,17,15,4,0,0,14.29,12.24,34.69,30.61,8.16,0,0,Spring21,7.94
572,CH62052,,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn20,7
573,CH62052,,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring19,9
574,CH71002,,10,5,2,0,0,0,0,58.82,29.41,11.76,0,0,0,0,Spring21,9.47
575,CH71002,,1,2,2,0,0,0,0,20,40,40,0,0,0,0,Spring19,8.8
576,CL60005,,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Autumn19,#DIV/0!
577,CL60006,,0,0,0,1,0,1,0,0,0,0,50,0,50,0,Autumn20,6
578,CL60006,,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring20,8
579,CL60008,,3,0,2,0,0,0,0,60,0,40,0,0,0,0,Spring21,9.2
580,CL60008,,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn20,9
581,CL60008,,5,8,0,2,0,0,0,33.33,53.33,0,13.33,0,0,0,Spring20,9.07
582,CL60017,,4,0,0,0,0,0,0,100,0,0,0,0,0,0,Autumn20,10
583,CL60019,,0,6,0,0,0,0,0,0,100,0,0,0,0,0,Autumn20,9
584,CL60019,,0,2,0,0,1,0,0,0,66.67,0,0,33.33,0,0,Spring20,8
585,CL60020,,1,0,6,2,5,0,0,7.14,0,42.86,14.29,35.71,0,0,Spring20,7.29
586,CL60020,,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Spring19,6
587,CL60020,,0,0,1,1,0,0,0,0,0,50,50,0,0,0,Spring21,7.5
588,CL60023,,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring20,8
589,CL60028,,0,1,2,1,0,0,0,0,25,50,25,0,0,0,Spring21,8
590,CL60028,,1,0,1,3,0,0,0,20,0,20,60,0,0,0,Spring20,7.8
591,CL60028,,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring19,8.5
592,CL60028,,0,0,0,0,0,0,1,0,0,0,0,0,0,100,Autumn20,4
593,CL60030,,0,0,1,1,0,0,0,0,0,50,50,0,0,0,Spring21,7.5
594,CL60030,,1,1,0,0,0,0,0,50,50,0,0,0,0,0,Spring20,9.5
595,CL60033,,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Autumn20,6
596,CL60033,,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring20,7
597,CL61009,,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Spring19,6
598,CL61009,,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn18,9
599,CL61012,,0,0,2,0,0,0,0,0,0,100,0,0,0,0,Spring21,8
600,CL61012,,1,0,1,0,0,0,0,50,0,50,0,0,0,0,Spring20,9
601,CL61018,,2,3,1,0,1,0,0,28.57,42.86,14.29,0,14.29,0,0,Spring20,8.71
602,CL61024,,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Autumn19,5
603,CL61024,,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring20,8.5
604,CL61024,,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Spring19,6
605,CR30008,CRYOGENIC ASPECTS OF HYDROGEN ENERGY,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring19,9
606,CR60006,,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring20,10
607,CR61005,,0,0,0,0,1,2,0,0,0,0,0,33.33,66.67,0,Autumn19,5.33
608,CR61014,,0,0,1,0,1,0,0,0,0,50,0,50,0,0,Spring20,7
609,CR61021,,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn19,7
610,CR61021,,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn18,9
611,CR61024,,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn18,7
612,CR61024,,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring20,8.5
613,CR61026,,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring19,9
614,CR61036,,0,2,1,2,1,0,0,0,33.33,16.67,33.33,16.67,0,0,Spring21,7.67
615,CS10001,PROGRAMMING AND DATA STRUCTURES,88,115,98,136,99,67,2,14.55,19.01,16.2,22.48,16.36,11.07,0.33,Spring18,7.58
616,CS10001,PROGRAMMING AND DATA STRUCTURES,103,110,148,83,107,60,2,16.8,17.94,24.14,13.54,17.46,9.79,0.33,Autumn17,7.72
617,CS10001,PROGRAMMING AND DATA STRUCTURES,86,113,154,158,98,62,2,12.78,16.79,22.88,23.48,14.56,9.21,0.3,Spring19,7.61
618,CS10001,PROGRAMMING AND DATA STRUCTURES,95,109,111,99,145,113,1,14.12,16.2,16.49,14.71,21.55,16.79,0.15,Autumn18,7.36
619,CS10001,PROGRAMMING AND DATA STRUCTURES,114,144,154,123,177,50,0,14.96,18.9,20.21,16.14,23.23,6.56,0,Spring20,7.67
620,CS10001,PROGRAMMING AND DATA STRUCTURES,100,141,186,124,101,92,6,13.33,18.8,24.8,16.53,13.47,12.27,0.8,Autumn19,7.62
621,CS10003,PROGAMMING AND DATA STRUCTURES,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Spring20,6
622,CS19003,PROGAMMING AND DATA STRUCTURES LABORATORY,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring20,9
623,CS19101,PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,121,166,155,95,53,13,2,20,27.44,25.62,15.7,8.76,2.15,0.33,Spring18,8.26
624,CS19101,PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,102,146,161,111,66,25,2,16.64,23.82,26.26,18.11,10.77,4.08,0.33,Autumn17,8.04
625,CS19101,PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,122,167,164,114,75,31,0,18.13,24.81,24.37,16.94,11.14,4.61,0,Spring19,8.08
626,CS19101,PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,123,142,180,122,74,30,1,18.3,21.13,26.79,18.15,11.01,4.46,0.15,Autumn18,8.04
627,CS19101,PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,168,183,182,136,69,24,0,22.05,24.02,23.88,17.85,9.06,3.15,0,Spring20,8.23
628,CS19101,PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,150,151,184,135,88,35,6,20.03,20.16,24.57,18.02,11.75,4.67,0.8,Autumn19,8.01
629,CS20006,SOFTWARE ENGINEERING,8,34,29,19,12,1,0,7.77,33.01,28.16,18.45,11.65,0.97,0,Spring19,8.04
630,CS20006,SOFTWARE ENGINEERING,4,44,45,21,3,3,0,3.33,36.67,37.5,17.5,2.5,2.5,0,Spring20,8.13
631,CS20006,SOFTWARE ENGINEERING,55,37,19,5,4,5,2,43.31,29.13,14.96,3.94,3.15,3.94,1.57,Spring21,8.87
632,CS21001,DISCRETE STRUCTURES,24,38,19,15,4,3,1,23.08,36.54,18.27,14.42,3.85,2.88,0.96,Autumn18,8.48
633,CS21001,DISCRETE STRUCTURES,15,22,28,29,23,6,0,12.2,17.89,22.76,23.58,18.7,4.88,0,Autumn19,7.67
634,CS21001,DISCRETE STRUCTURES,13,35,46,26,6,5,2,9.77,26.32,34.59,19.55,4.51,3.76,1.5,Autumn20,8
635,CS21002,SWITCHING CIRCUITS AND LOGIC DESIGN,29,36,40,12,3,6,0,23.02,28.57,31.75,9.52,2.38,4.76,0,Spring20,8.46
636,CS21002,SWITCHING CIRCUITS AND LOGIC DESIGN,40,81,24,9,1,1,0,25.64,51.92,15.38,5.77,0.64,0.64,0,Spring21,8.94
637,CS21002,SWITCHING CIRCUITS AND LOGIC DESIGN,16,32,19,20,9,7,0,15.53,31.07,18.45,19.42,8.74,6.8,0,Spring19,8.05
638,CS21003,ALGORITHMS   I,16,24,28,24,17,4,0,14.16,21.24,24.78,21.24,15.04,3.54,0,Spring19,7.88
639,CS21003,ALGORITHMS   I,16,30,42,31,22,1,0,11.27,21.13,29.58,21.83,15.49,0.7,0,Spring20,7.89
640,CS21003,ALGORITHMS   I,6,21,25,25,13,13,0,5.83,20.39,24.27,24.27,12.62,12.62,0,Autumn18,7.45
641,CS21003,ALGORITHMS   I,27,35,59,19,4,0,0,18.75,24.31,40.97,13.19,2.78,0,0,Spring21,8.43
642,CS21003,ALGORITHMS   I,1,23,31,33,14,18,0,0.83,19.17,25.83,27.5,11.67,15,0,Autumn19,7.25
643,CS21003,ALGORITHMS   I,7,19,35,29,24,10,4,5.47,14.84,27.34,22.66,18.75,7.81,3.13,Autumn20,7.3
644,CS21004,FORMAL LANGUAGE AND AUTOMATA THEORY,11,23,39,22,5,2,0,10.78,22.55,38.24,21.57,4.9,1.96,0,Spring19,8.07
645,CS21004,FORMAL LANGUAGE AND AUTOMATA THEORY,20,24,29,19,24,4,0,16.67,20,24.17,15.83,20,3.33,0,Spring20,7.88
646,CS21004,FORMAL LANGUAGE AND AUTOMATA THEORY,17,39,41,19,7,2,1,13.49,30.95,32.54,15.08,5.56,1.59,0.79,Spring21,8.24
647,CS29002,SWITCHING CIRCUITS LABORATORY,50,72,22,9,0,0,0,32.68,47.06,14.38,5.88,0,0,0,Spring21,9.07
648,CS29002,SWITCHING CIRCUITS LABORATORY,53,33,11,5,0,1,0,51.46,32.04,10.68,4.85,0,0.97,0,Spring19,9.27
649,CS29002,SWITCHING CIRCUITS LABORATORY,32,35,29,23,3,0,0,26.23,28.69,23.77,18.85,2.46,0,0,Spring20,8.57
650,CS29003,ALGORITHMS LABORATORY,20,18,21,21,10,0,0,22.22,20,23.33,23.33,11.11,0,0,Spring19,8.19
651,CS29003,ALGORITHMS LABORATORY,33,52,43,30,10,0,0,19.64,30.95,25.6,17.86,5.95,0,0,Spring21,8.4
652,CS29003,ALGORITHMS LABORATORY,28,32,37,18,6,0,0,23.14,26.45,30.58,14.88,4.96,0,0,Spring20,8.48
653,CS29003,ALGORITHMS LABORATORY,9,29,21,15,10,19,0,8.74,28.16,20.39,14.56,9.71,18.45,0,Autumn18,7.56
654,CS29003,ALGORITHMS LABORATORY,6,12,22,20,43,17,0,5,10,18.33,16.67,35.83,14.17,0,Autumn19,6.89
655,CS29003,ALGORITHMS LABORATORY,11,24,29,23,29,9,3,8.59,18.75,22.66,17.97,22.66,7.03,2.34,Autumn20,7.42
656,CS29006,SOFTWARE ENGINEERING LABORATORY,20,49,23,8,3,0,0,19.42,47.57,22.33,7.77,2.91,0,0,Spring19,8.73
657,CS29006,SOFTWARE ENGINEERING LABORATORY,28,60,23,5,1,3,0,23.33,50,19.17,4.17,0.83,2.5,0,Spring20,8.83
658,CS29006,SOFTWARE ENGINEERING LABORATORY,40,37,23,14,9,2,2,31.5,29.13,18.11,11.02,7.09,1.57,1.57,Spring21,8.56
659,CS30002,OPERATING SYSTEMS,10,31,26,15,13,7,0,9.8,30.39,25.49,14.71,12.75,6.86,0,Spring20,7.89
660,CS30002,OPERATING SYSTEMS,21,32,35,17,10,1,0,18.1,27.59,30.17,14.66,8.62,0.86,0,Spring21,8.29
661,CS31003,COMPILERS,18,26,22,20,7,9,0,17.65,25.49,21.57,19.61,6.86,8.82,0,Autumn19,8.01
662,CS31003,COMPILERS,30,54,23,9,2,1,0,25.21,45.38,19.33,7.56,1.68,0.84,0,Autumn20,8.82
663,CS31005,ALGORITHMS  II,12,18,29,31,10,2,0,11.76,17.65,28.43,30.39,9.8,1.96,0,Autumn19,7.85
664,CS31005,ALGORITHMS  II,8,23,42,26,12,6,2,6.72,19.33,35.29,21.85,10.08,5.04,1.68,Autumn20,7.69
665,CS31006,COMPUTER NETWORKS,0,0,0,2,1,1,0,0,0,0,50,25,25,0,Spring19,6.25
666,CS31006,COMPUTER NETWORKS,39,57,31,11,7,2,0,26.53,38.78,21.09,7.48,4.76,1.36,0,Spring21,8.71
667,CS31006,COMPUTER NETWORKS,20,42,31,22,4,3,0,16.39,34.43,25.41,18.03,3.28,2.46,0,Spring20,8.35
668,CS31007,COMPUTER ORGANIZATION & ARCHITECTURE,19,38,16,24,4,1,0,18.63,37.25,15.69,23.53,3.92,0.98,0,Autumn19,8.4
669,CS31007,COMPUTER ORGANIZATION & ARCHITECTURE,24,56,19,12,3,0,0,21.05,49.12,16.67,10.53,2.63,0,0,Autumn20,8.75
670,CS31702,COMPUTER ARCHITECTURE AND OPERATING SYSTEM,45,89,50,14,3,1,0,22.28,44.06,24.75,6.93,1.49,0.5,0,Spring21,8.77
671,CS31702,COMPUTER ARCHITECTURE AND OPERATING SYSTEM,0,0,1,1,0,0,0,0,0,50,50,0,0,0,Spring19,7.5
672,CS31702,COMPUTER ARCHITECTURE AND OPERATING SYSTEM,17,25,38,19,15,2,0,14.66,21.55,32.76,16.38,12.93,1.72,0,Spring20,8.03
673,CS39001,COMPUTER ORGANIZATION LABORATORY,32,46,13,9,2,0,0,31.37,45.1,12.75,8.82,1.96,0,0,Autumn19,8.95
674,CS39001,COMPUTER ORGANIZATION LABORATORY,60,35,10,9,1,0,0,52.17,30.43,8.7,7.83,0.87,0,0,Autumn20,9.25
675,CS39002,OPERATING SYSTEMS LABORATORY,37,23,23,12,3,4,0,36.27,22.55,22.55,11.76,2.94,3.92,0,Spring20,8.66
676,CS39002,OPERATING SYSTEMS LABORATORY,77,22,11,4,1,1,0,66.38,18.97,9.48,3.45,0.86,0.86,0,Spring21,9.44
677,CS39003,COMPILERS LABORATORY,31,40,14,12,4,1,0,30.39,39.22,13.73,11.76,3.92,0.98,0,Autumn19,8.77
678,CS39003,COMPILERS LABORATORY,47,42,19,6,1,1,1,40.17,35.9,16.24,5.13,0.85,0.85,0.85,Autumn20,9.03
679,CS39006,NETWORKS LAB.,53,20,16,12,0,2,0,51.46,19.42,15.53,11.65,0,1.94,0,Spring20,9.05
680,CS39006,NETWORKS LAB.,69,29,12,6,4,0,0,57.5,24.17,10,5,3.33,0,0,Spring21,9.28
681,CS39008,PROJECT SEMINAR,72,24,3,1,2,0,0,70.59,23.53,2.94,0.98,1.96,0,0,Spring20,9.6
682,CS39008,PROJECT SEMINAR,87,22,6,2,2,1,0,72.5,18.33,5,1.67,1.67,0.83,0,Spring21,9.56
683,CS40003,DATA ANALYTICS,3,15,15,12,9,13,0,4.48,22.39,22.39,17.91,13.43,19.4,0,Autumn19,7.28
684,CS40003,DATA ANALYTICS,2,0,0,0,0,0,0,100,0,0,0,0,0,0,Autumn18,10
685,CS40019,IMAGE PROCESSING,2,4,5,0,0,0,0,18.18,36.36,45.45,0,0,0,0,Autumn18,8.73
686,CS40019,IMAGE PROCESSING,23,22,22,13,4,2,0,26.74,25.58,25.58,15.12,4.65,2.33,0,Autumn19,8.48
687,CS40019,IMAGE PROCESSING,59,81,69,29,10,1,0,23.69,32.53,27.71,11.65,4.02,0.4,0,Autumn20,8.59
688,CS40032,PRINCIPLES OF PROGRAMMING LANGUAGES,29,65,8,1,0,1,0,27.88,62.5,7.69,0.96,0,0.96,0,Spring21,9.14
689,CS40032,PRINCIPLES OF PROGRAMMING LANGUAGES,32,18,2,2,0,2,0,57.14,32.14,3.57,3.57,0,3.57,0,Spring20,9.32
690,CS41001,THEORY OF COMPUTATION,32,58,8,2,1,0,0,31.68,57.43,7.92,1.98,0.99,0,0,Autumn20,9.17
691,CS43002,DATABASE MANAGEMENT SYSTEMS,6,24,15,15,4,4,0,8.82,35.29,22.06,22.06,5.88,5.88,0,Spring20,8.01
692,CS43002,DATABASE MANAGEMENT SYSTEMS,24,24,25,16,2,0,0,26.37,26.37,27.47,17.58,2.2,0,0,Spring21,8.57
693,CS47007,PROJECT I,31,26,11,5,1,1,3,39.74,33.33,14.1,6.41,1.28,1.28,3.85,Autumn20,8.85
694,CS48003,SUMMER TRAINING,49,5,2,0,0,0,0,87.5,8.93,3.57,0,0,0,0,Autumn20,9.84
695,CS60002,,3,19,18,18,0,1,0,5.08,32.2,30.51,30.51,0,1.69,0,Spring21,8.07
696,CS60003,,15,27,5,1,0,0,0,31.25,56.25,10.42,2.08,0,0,0,Spring21,9.17
697,CS60004,,1,3,5,1,0,0,0,10,30,50,10,0,0,0,Spring21,8.4
698,CS60009,,1,4,7,2,0,0,0,7.14,28.57,50,14.29,0,0,0,Autumn20,8.29
699,CS60009,,1,1,0,0,0,0,0,50,50,0,0,0,0,0,Autumn19,9.5
700,CS60010,,23,33,20,10,7,0,0,24.73,35.48,21.51,10.75,7.53,0,0,Spring21,8.59
701,CS60010,,8,11,7,4,1,0,0,25.81,35.48,22.58,12.9,3.23,0,0,Spring20,8.68
702,CS60010,,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Spring19,5
703,CS60012,,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring20,9
704,CS60016,,0,1,0,2,0,3,1,0,14.29,0,28.57,0,42.86,14.29,Spring20,6
705,CS60016,,3,6,11,7,6,0,1,8.82,17.65,32.35,20.59,17.65,0,2.94,Spring21,7.68
706,CS60017,,1,1,5,7,0,0,0,7.14,7.14,35.71,50,0,0,0,Autumn19,7.71
707,CS60017,,17,24,22,15,4,2,0,20.24,28.57,26.19,17.86,4.76,2.38,0,Autumn20,8.35
708,CS60021,,16,20,11,5,3,0,0,29.09,36.36,20,9.09,5.45,0,0,Autumn20,8.75
709,CS60021,,0,0,0,1,0,1,0,0,0,0,50,0,50,0,Autumn19,6
710,CS60023,,3,0,1,0,0,0,0,75,0,25,0,0,0,0,Spring21,9.5
711,CS60023,,3,1,1,0,0,0,0,60,20,20,0,0,0,0,Spring20,9.4
712,CS60025,,1,8,4,3,0,0,0,6.25,50,25,18.75,0,0,0,Autumn20,8.44
713,CS60025,,1,4,2,4,0,0,0,9.09,36.36,18.18,36.36,0,0,0,Autumn19,8.18
714,CS60029,,2,3,1,0,0,0,0,33.33,50,16.67,0,0,0,0,Spring20,9.17
715,CS60030,,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Autumn20,6
716,CS60038,,12,9,4,1,2,0,0,42.86,32.14,14.29,3.57,7.14,0,0,Autumn20,9
717,CS60045,,1,1,3,1,3,0,0,11.11,11.11,33.33,11.11,33.33,0,0,Autumn19,7.56
718,CS60045,,25,62,22,3,2,0,0,21.93,54.39,19.3,2.63,1.75,0,0,Autumn20,8.92
719,CS60047,,13,15,0,0,0,0,0,46.43,53.57,0,0,0,0,0,Autumn20,9.46
720,CS60047,,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn19,8
721,CS60050,,21,27,38,17,11,7,0,17.36,22.31,31.4,14.05,9.09,5.79,0,Autumn19,8.07
722,CS60050,,20,28,9,1,0,0,0,34.48,48.28,15.52,1.72,0,0,0,Spring20,9.16
723,CS60050,,8,11,6,1,1,1,0,28.57,39.29,21.43,3.57,3.57,3.57,0,Spring21,8.75
724,CS60050,,10,33,26,7,2,2,0,12.5,41.25,32.5,8.75,2.5,2.5,0,Autumn20,8.45
725,CS60050,,2,1,2,0,0,0,0,40,20,40,0,0,0,0,Spring19,9
726,CS60050,,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn18,9
727,CS60052,,2,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring20,10
728,CS60052,,1,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring21,10
729,CS60057,,0,2,0,0,0,0,0,0,100,0,0,0,0,0,Spring19,9
730,CS60059,,28,14,2,0,1,0,0,62.22,31.11,4.44,0,2.22,0,0,Autumn20,9.51
731,CS60059,,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring20,8
732,CS60064,,22,26,4,2,0,0,0,40.74,48.15,7.41,3.7,0,0,0,Spring21,9.26
733,CS60064,,4,0,0,0,0,0,0,100,0,0,0,0,0,0,Spring20,10
734,CS60065,,2,7,2,0,0,0,0,18.18,63.64,18.18,0,0,0,0,Autumn20,9
735,CS60065,,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Spring20,7
