,Subject Names,Profile Names
461,EMBEDDED SYSTEMS LAB.,Physics and Engineering
462,ELECTROMAGNETISM & OPTICS LAB   II,Physics and Engineering
463,MASS TRANSFER II,Mechanical Engineering
464,COMPUTATIONAL FLUID DYNAMICS,Mechanical Engineering
465,FUEL LABORATORY,Engineering Design Process
466,SPACE DYNAMICS,Mechanical Engineering
467,WATER AND W.W. ENGINEERING,Environmental Engineering
468,ORGANIC CHEMISTRY II,Mechanical Engineering
469,INDUCTION PROGRAM,Mechanical Engineering
470,BIOCHEMICAL ENGGINEERING LABORATORY,Engineering Design Process
471,IMMUNOLOGY,Mechanical Engineering
472,ADVANCED GAS TURBINE THEORY,Mechanical Engineering
473,MECHANICS,Mechanical Engineering
474,MATRIX ALGEBRA,Mechanical Engineering
475,MOLECULAR THERMODYNAMICS & KINETICS,Mechanical Engineering
476,BASIC ELECTRONICS,Mechanical Engineering
477,INTRODUCTION TO FLIGHT VEHICLE CONTROLS,Mechanical Engineering
478,APPLIED ORGANISATIONAL PSYCHOLOGY,Mechanical Engineering
479,WORKING DRAWING,Mechanical Engineering
480,THEORY OF ELASTIC STABILITY,Mechanical Engineering
481,SIMULATION LAB.,Physics and Engineering
482,PHYSICS OF MATERIALS,Physics and Engineering
483,COMPUTER ORGANIZATION LABORATORY,Engineering Design Process
484,PALEOBIOLOGY AND PALEOECOLOGY,Mechanical Engineering
485,SWITCHING CIRCUITS AND LOGIC DESIGN,Engineering Design Process
486,ROBOTS AND COMPUTER CONTROLLED MACHINES,Mechanical Engineering
487,PUBLIC FINANCE AND POLICY,Mechanical Engineering
488,MACHINES TOOLS AND MACHINING,Mechanical Engineering
489,MECHANICAL WORKING OF MATERIALS,Mechanical Engineering
490,STRUCTURAL GEOLOGY LAB,Physics and Engineering
491,TECTONICS & GEODYNAMICS,Mechanical Engineering
492,POWER APPARATUS & SYSTEM DESIGN,Engineering Design Process
493,ADVANCED CALCULUS,Mechanical Engineering
494,SUMMER TRAINING,Mechanical Engineering
495,CAD CAM LAB.,Physics and Engineering
496,GEOPHYSICAL FIELD THEORY,Mechanical Engineering
497,ENVIRONMENTAL HUMANITIES,Mechanical Engineering
498,FUNDAMENTALS OF EMBEDDED CONTROL AND SOFTWARE,Mechanical Engineering
499,THEORY OF JET PROPULSION,Mechanical Engineering
500,PROGAMMING AND DATA STRUCTURES LABORATORY,Engineering Design Process
501,THEORY OF OPERATING SYSTEMS,Mechanical Engineering
502,JOINING OF METALS,Mechanical Engineering
503,PHYSICS OF SOLID EARTH,Mechanical Engineering
504,AERODYNAMICS LAB I,Physics and Engineering
505,EXPERIMENTAL STRESS ANALYSIS,Mechanical Engineering
506,QUANTUM MECHANICS I,Mechanical Engineering
507,COMPUTATIONAL PHYSICS LAB.,Physics and Engineering
508,THERMODYNAMICS OF GEOL. SYSTEMS,Mechanical Engineering
509,INTELLIGENT TUTORING SYSTEM,Mechanical Engineering
510,EQUITY RESEARCH,Mechanical Engineering
511,ELECTROMAGNETISM & OPTICS LAB   I,Physics and Engineering
512,DIGITAL ELECTRONIC CIRCUITS LAB.,Physics and Engineering
513,DESIGN & SELECTION OF MATERIALS,Engineering Design Process
514,SOCIOLOGY OF RESOURCE MANAGEMENT,Mechanical Engineering
515,NON LINEAR PROGRAMMING,Mechanical Engineering
516,ECONOMICS OF SUSTIANABLE DEVELOPMENT,Finance
517,DESIGN OPTIMISATION,Engineering Design Process
518,NON TRADITIONAL MANUFACTURING & CIM LAB.,Physics and Engineering
519,INTRODUCTION TO ETHICS,Mechanical Engineering
520,ENERGY CONVERSION PROCESSES,Mechanical Engineering
521,ENERGETICS OF GEOLOGIC SYSTEMS,Mechanical Engineering
522,APPLIED ELASTICITY,Mechanical Engineering
523,SEQUENCE STRATIGRAPHY,Mechanical Engineering
524,MECHANICS OF FLIGHT,Mechanical Engineering
525,COMPUTER AIDED DESIGN AND SIMULATION,Engineering Design Process
526,SCIENCE OF LIVING SYSTEM,Mechanical Engineering
527,STRUCTURES & FUNCTION OF BIOMOLECULES,Mechanical Engineering
528,FUEL TECHNOLOGY,Mechanical Engineering
529,NUCLEAR AND PARTICLE PHYSICS  II,Physics and Engineering
530,"INDIAN SOCIETY, LITERATURE AND CULTURE",Mechanical Engineering
531,CAD CAM MARINE DESIGN & PRODUCTION,Engineering Design Process
532,NUMERICAL SOLUTION OF ORDINARY AND PDE,Mechanical Engineering
533,W & W.W. ENGINEERING LABORATORY,Environmental Engineering
534,COMMODITY DERIVATIVES AND PRICE RISK MODELLING,Mechanical Engineering
535,SURVEYING,Mechanical Engineering
536,INTRODUCTION TO ARCHITECTURE,Mechanical Engineering
537,OPERATIONS RESEARCH,Mechanical Engineering
538,INFORMATION AND CODING THEORY,Mechanical Engineering
539,ECONOMETRIC ANALYSIS I LAB.,Physics and Engineering
540,BIOCHEMISTRY,Mechanical Engineering
541,GRAPHICS AND VISUAL COMMUNICATION,Mechanical Engineering
542,DYNAMICS,Mechanical Engineering
543,COMPUTER ORGANISATION & ARCHITECTURE,Mechanical Engineering
544,ORE GEOLOGY,Mechanical Engineering
545,MECHANICAL OPERATIONS & HEAT TRANSFER LABORATORY,Engineering Design Process
546,CIVIL ENGG. DRAWING AND EST.,Mechanical Engineering
547,THERMODYNAMICS & AEROSPACE PROP.SYSTEM,Mechanical Engineering
548,DIGITAL ELECTRONIC CIRCUITS,Mechanical Engineering
549,SEISMIC METHODS OF PROSPECTING,Mechanical Engineering
550,ENVIRONMENTAL STUDIES,Mechanical Engineering
551,ANALYTICAL BIOCHEMISTRY LABORATORY,Engineering Design Process
552,"INNOVATION, DISRUPTION, AND EXPONENTIAL DEVELOPMENT IN MEDICAL TECHNOLOGIES",Mechanical Engineering
553,NON DESTRUCTIVE TESTING,Mechanical Engineering
554,CHEMISTRY,Mechanical Engineering
555,MICROCONTROLLER & EMBEDDED SYSTEMS,Mechanical Engineering
556,SYMBOLIC LOGIC,Mechanical Engineering
557,ANALOG COMMUNICATION,Mechanical Engineering
558,"LINEAR ALGEBRA, NUMERICAL AND COMPLEX ANALYSIS",Mechanical Engineering
559,APPLIED THERMO FLUIDS I,Mechanical Engineering
560,DEFORMATION BEHAVIOUR OF MATERIALS,Mechanical Engineering
561,APPLIED THERMO FLUIDS II,Mechanical Engineering
562,COMBUSTION PROCESSES IN JET ENGINES,Mechanical Engineering
563,THEORY OF COMPILER DESIGN,Engineering Design Process
564,ORGANIC CHEMISTRY LABORATORY II,Engineering Design Process
565,PHYSICS OF WAVES,Physics and Engineering
566,MECHANISM SESSIONAL,Mechanical Engineering
567,GEOEXPLORATION,Mechanical Engineering
568,BIOPROCESS TECHNOLOGY,Mechanical Engineering
569,INDUSTRIAL AERODYNAMICS,Mechanical Engineering
570,COMPUTER METHODS IN CHEM. ENGG.,Mechanical Engineering
571,LABOUR ECONOMICS,Finance
572,STATISTICAL INFERENCE,Mechanical Engineering
573,ELECTROMAGNETIC ENGINEERING,Environmental Engineering
574,NEUROPHYSIOLOGY,Mechanical Engineering
575,"PHOTOGRAPHY, ART & ADVANCED VISUAL COMMUNICATION",Mechanical Engineering
576,COMPUTER AIDED OCEAN STRUCTURE ANALYSIS,Mechanical Engineering
577,OPERATION RESEARCH LABORATORY,Engineering Design Process
578,FOOD SCIENCE & TECHNOLOGY,Mechanical Engineering
579,CHEMICAL ENGINEERING THERMODYNAMICS,Environmental Engineering
580,LINEAR ALGEBRA,Mechanical Engineering
581,TRANSPORTATION ENGG.,Mechanical Engineering
582,CROP PRODUCTION TECHNOLOGY,Mechanical Engineering
583,CLIMATOLOGY & SOLAR ARCHITECTURE,Mechanical Engineering
584,CHEMISTRY LABORATORY,Engineering Design Process
585,THEORY OF ELASTICITY AND PLASTICITY,Mechanical Engineering
586,INTRODUCTION TO AEROSPACE STRUCTURES,Mechanical Engineering
587,QUALITY ENGINEERING,Environmental Engineering
588,CRYOGENIC ASPECTS OF HYDROGEN ENERGY,Mechanical Engineering
589,MICROBIOLOGY LABORATORY,Engineering Design Process
590,ECONOMICS OF GROWTH,Finance
591,ENVIRONMENTAL ENGINEERING,Environmental Engineering
592,INSTRUMENTATION AND PROCESS CONTROL LABORATORY,Engineering Design Process
593,EARTH AND PLANETARY SYSTEMS,Mechanical Engineering
594,VENTILATION LABORATORY,Engineering Design Process
595,MANAGEMENT OF INVENTORY SYSTEMS,Mechanical Engineering
596,MINERAL RESOURCES LAB.,Physics and Engineering
597,FILE ORGANIZATION AND DATABASE SYSTEMS,Mechanical Engineering
598,MINERAL RESOURCES,Mechanical Engineering
599,AERODYNAMICS LAB II,Physics and Engineering
600,ARCHITECTURAL DESIGN   V & FIELD STUDY,Engineering Design Process
601,ECONOMETRIC ANALYSIS I,Mechanical Engineering
602,PROBABILITY & STOCHASTIC PROCESSES,Mechanical Engineering
603,SEMICONDUCTOR DEVICES,Mechanical Engineering
604,OPERATIONS RESEARCH LAB.,Physics and Engineering
605,ELECTROMAGNETIC METHODS OF  PROSPECTING,Mechanical Engineering
606,MARINE DESIGN LABORATORY   I,Engineering Design Process
607,SPECIFICATION,Mechanical Engineering
608,NETWORKS LAB.,Physics and Engineering
609,DISCRETE STRUCTURES,Mechanical Engineering
610,APPLIED ELASTICITY & PLASTICITY,Mechanical Engineering
611,IRRIGATION & DRAINAGE ENGINEERING LABORATORY,Environmental Engineering
612,MARKET MICRO STRUCTURE,Mechanical Engineering
613,PRINCIPLES OF FOOD ENGINEERING,Environmental Engineering
614,SURFACE MINING,Mechanical Engineering
615,GENETIC ALGORITHMS IN ENGINEERING PROCESS MODELING,Environmental Engineering
616,SEMINAR,Mechanical Engineering
617,PHYSICAL CHEMISTRY I,Mechanical Engineering
618,PRODUCTION PLANNING AND CONTROL,Mechanical Engineering
619,REAL ESTATE  VALUATION,Mechanical Engineering
620,LAND & WATER RESOURCES ENGINEERING,Environmental Engineering
621,HAZARDOUS WASTE MANAGEMENT,Mechanical Engineering
622,CAD AND SIMULATION OF AGRICULTURAL MACHINERY,Mechanical Engineering
623,GRAVITY & MAGNETIC METHODS LAB.,Physics and Engineering
624,NUCLEAR & PARTICLE PHYSICS LAB I,Physics and Engineering
625,AIRCRAFT DESIGN & OPTIMISATION,Engineering Design Process
626,PROCESS EQUIPMENT DESIGN I,Engineering Design Process
627,INSTRUMENTATION DEVICES,Mechanical Engineering
628,SHIP STRENGTH,Mechanical Engineering
629,"INORGANIC CHEMISTRY: PRINCIPLE,STRUCTURE & REACTIVITY",Mechanical Engineering
630,INFORMATION SYSTEMS LAB,Physics and Engineering
631,UNDERGROUND METAL MINING,Mechanical Engineering
632,CHEMICAL PROCESS TECHNOLOGY,Mechanical Engineering
633,BEHAVIOUR OF RC STRUCTURES,Mechanical Engineering
634,INTRODUCTION TO ELECTRONICS,Mechanical Engineering
635,ECONOMETRIC ANALYSIS II,Mechanical Engineering
636,STRUCTURAL GEOLOGY,Mechanical Engineering
637,ADVANCED COMPUTATIONAL FLUID DYNAMICS,Mechanical Engineering
638,TUBEWELLS AND PUMPS,Mechanical Engineering
639,RF & MICROWAVE ENGINEERING,Environmental Engineering
640,DIGITAL COMMUNICATION,Mechanical Engineering
641,SOFTWARE ENGINEERING LABORATORY,Environmental Engineering
642,DERIVATIVES AND RISK MANAGEMENT,Mechanical Engineering
643,COMPILERS LABORATORY,Engineering Design Process
644,DESCRIPTIVE GEOMETRY II,Mechanical Engineering
645,REACTION ENGINEERING LABORATORY,Environmental Engineering
646,FIELD WORK (6 WEEKS),Mechanical Engineering
647,INSTITUTIONAL ECONOMICS,Finance
648,BUILDING MATERIALS,Mechanical Engineering
649,DEVELOPMENT OF CONTEMPORARY ARCHITECTURE,Mechanical Engineering
650,OPTIMISATION AND HEURISTIC METHODS,Mechanical Engineering
651,INTRODUCTION TO AERODYNAMICS,Mechanical Engineering
652,DESCRIPTIVE GEOMETRY I,Mechanical Engineering
653,SWITCHING & FINITE AUTOMATA,Mechanical Engineering
654,ECONOMIC PSYCHOLOGY,Mechanical Engineering
655,BASIN ANALYSIS,Mechanical Engineering
656,SCIENCE OF LIVING SYSTEMS,Mechanical Engineering
657,DOWNSTREAM PROCESSING,Mechanical Engineering
658,TRANSFORM CALCULUS,Mechanical Engineering
659,CHEMICAL PROCESS CALCULATIONS,Mechanical Engineering
660,MICROWAVE LABORATORY,Engineering Design Process
661,PHYSICAL CHEMISTRY LABORATORY II,Engineering Design Process
662,DETERMINATIVE MINERALOGY LABORATORY,Engineering Design Process
663,GEOLOGY LABORATORY,Engineering Design Process
664,COMPUTER AIDED PROCESS ENGINEERING LAB.,Environmental Engineering
665,INTRODUCTION TO AVIONICS,Mechanical Engineering
666,VENTILATION AND CLIMATE CONTROL,Mechanical Engineering
667,ADVANCED STRUCTURAL GEOLOGY LAB.,Physics and Engineering
668,COMPUTER AIDED PROCESS ENGINEERING,Environmental Engineering
669,OPERATIONS RESEARCH II,Mechanical Engineering
670,METAMORPHIC PETROLOGY LAB.,Physics and Engineering
671,AGRICULTURAL BIOTECHNOLOGY LAB.,Physics and Engineering
672,APPLIED ECONOMETRICS LABORATORY,Engineering Design Process
673,INORGANIC CHEMISTRY LABORATORY II,Engineering Design Process
674,ELECTRICAL METHODS LAB.,Physics and Engineering
675,ELEMENTS OF OCEAN ENGINEERING,Environmental Engineering
676,COMPUTER APPLICATIONS IN METALLURGICAL PROCESSES,Mechanical Engineering
677,STRATIGRAPHY,Mechanical Engineering
678,BASIC ENGINEERING MECHANICS,Environmental Engineering
679,BEHAVIOURAL FINANCE,Mechanical Engineering
680,CROP PRODUCTION TECHNOLOGY LAB.,Physics and Engineering
681,NUCLEAR AND PARTICLE PHYSICS LAB II,Physics and Engineering
682,PHYSICS LABORATORY,Engineering Design Process
683,INTRODUCTION TO ENGINEERING MATERIALS,Environmental Engineering
684,PLANT CELL & TISSUE CULTURE LABORATORY,Engineering Design Process
685,DIGITAL SIGNAL PROCESSING,Mechanical Engineering
686,FOOD SECURITY AND POVERTY STUDIES,Mechanical Engineering
687,INTERIOR DESIGN,Engineering Design Process
